num	type	reportname	dbname	person	committee	bill
514	R  E  P  O  R  T  ON  THE  REVISED  SUBALLOCATION  OF  BUDGET  ALLOCATIONS  FOR  FISCAL  YEAR  2007  SUBMITTED  BY  MR.  LEWIS  OF  CALIFORNIA,  CHAIRMAN,  COMMITTEE  ON  APPROPRIATIONS	house	hr483	109	LEWIS of California	Committee on Appropriations	
515	DIRECTING  THE  SECRETARY  OF  THE  DEPARTMENT  OF  HOMELAND  SECURITY  TO  TRANSMIT  TO  THE  HOUSE  OF  REPRESENTATIVES  NOT  LATER  THAN  14  DAYS  AFTER  THE  DATE  OF  THE  ADOPTION  OF  THIS  RESOLUTION  DOCUMENTS  IN  THE  SECRETARY'S  POSSESSION  RELATING  TO  ANY  EXISTING  OR  PREVIOUS  AGREEMENT  BETWEEN  THE  DEPARTMENT  OF  HOMELAND  SECURITY  AND  SHIRLINGTON  LIMOUSINE  AND  TRANSPORTATION,  INCORPORATED,  OF  ARLINGTON,  VIRGINIA	house	hr484	109	KING of New York	Committee on Homeland Security	H. Res. 809
516	LEGISLATIVE  BRANCH  APPROPRIATIONS  BILL,  2007	house	hr485	109	LEWIS of California	Committee on Appropriations	H.R. 5521
517	FOREIGN  OPERATIONS,  EXPORT  FINANCING,  AND  RELATED  PROGRAMS  APPROPRIATIONS  BILL,  2007	house	hr486	109	KOLBE	Committee on Appropriations	H.R. 5522
518	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5521,  LEGISLATIVE  BRANCH  APPROPRIATIONS  ACT,  2007	house	hr487	109	BISHOP of Utah	Committee on Rules	H. Res. 849
519	HOUSE  OF  REPRESENTATIVES	house	hr488	109	LEWIS of California	Committee on Appropriations	
520	TRUTH  IN  CALLER  ID  ACT  OF  2006	house	hr489	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5126
521	RETENTION  AND  USE  OF  FOREST  SERVICE  MARINA  PERMIT  FEES  FROM  NATIONAL  FOREST  SYSTEM  UNITS  DERIVED  FROM  THE  PUBLIC  DOMAIN	house	hr490p1	109	POMBO	Committee on Resources	H.R. 4084
522	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5252,  COMMUNICATIONS  OPPORTUNITY,  PROMOTION,  AND  ENHANCEMENT  ACT  OF  2006	house	hr491	109	LINCOLN DIAZ-BALART of Florida	Committee on Rules	H. Res. 850
523	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5522,  FOREIGN  OPERATIONS,  EXPORT  FINANCING  AND  RELATED  PROGRAMS  APPROPRIATIONS  ACT,  2007	house	hr492	109	LINCOLN-DIAZ-BALART of Florida	Committee on Rules	H. Res. 851
524	SENIOR  INDEPENDENCE  ACT  OF  2006	house	hr493	109	MCKEON	Committee on Education and the Workforce	H.R. 5293
525	MAKING  EMERGENCY  SUPPLEMENTAL  APPROPRIATIONS  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr494	109	LEWIS of California	committee of conference	H.R. 4939
526	DEPARTMENTS  OF  TRANSPORTATION,  TREASURY,  AND  HOUSING  AND  URBAN  DEVELOPMENT,  THE  JUDICIARY,  DISTRICT  OF  COLUMBIA,  AND  INDEPENDENT  AGENCIES  APPROPRIATIONS  BILL,  2007	house	hr495	109	KNOLLENBERG	Committee on Appropriations	H.R. 5576
527	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  4939,  EMERGENCY  SUPPLEMENTAL  APPROPRATIONS  ACT  FOR  DEFENSE,  THE  GLOBAL  WAR  ON  TERROR,  AND  HURRICANE  RECOVERY,  2006	house	hr496	109	COLE	Committee on Rules	H. Res. 857
528	TO  PROVIDE  FOR  CERTAIN  ACCESS  TO  NATIONAL  CRIME  INFORMATION  DATABASES  BY  SCHOOLS  AND  EDUCATIONAL  AGENCIES  FOR  EMPLOYMENT  PURPOSES,  WITH  RESPECT  TO  INDIVIDUALS  WHO  WORK  WITH  CHILDREN	house	hr497	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4894
529	WAIVING  A  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr498	109	LINCOLN DIAZ-BALART of Florida	Committee on Rules	H. Res. 862
530	RECOGNIZING  THE  50TH  ANNIVERSARY  OF  THE  INTERSTATE  HIGHWAY  SYSTEM	house	hr499	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H. Con. Res. 372
531	TO  EXEMPT  PERSONS  WITH  DISABILITIES  FROM  THE  PROHIBITION  AGAINST  PROVIDING  SECTION  8  RENTAL  ASSISTANCE  TO  COLLEGE  STUDENTS	house	hr500	109	OXLEY	Committee on Financial Services	H.R. 5117
532	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5576,  DEPARTMENTS  OF  TRANSPORTATION,  TREASURY,  HOUSING  AND  URBAN  DEVELOPMENT,  THE  JUDICIARY,  THE  DISTRICT  OF  COLUMBIA,  AND  INDEPENDENT  AGENCIES  APPROPRIATIONS  ACT,  2007	house	hr501	109	LINCOLN DIAZ-BALART	Committee on Rules	H. Res. 865
533	PROVIDING  FOR  CONSIDERATION  OF  H.  RES.  861,  DECLARING  THAT  THE  UNITED  STATES  WILL  PREVAIL  IN  THE  GLOBAL  WAR  ON  TERROR,  THE  STRUGGLE  TO  PROTECT  FREEDOM  FROM  THE  TERRORIST  ADVERSARY	house	hr502	109	COLE of Oklahoma	Committee on Rules	H. Res. 868
534	NATIONAL  INTEGRATED  DROUGHT  INFORMATION  SYSTEM  ACT  OF  2006	house	hr503	109	BOEHLERT	Committee on Science	H.R. 5136
535	DEPARTMENT  OF  DEFENSE  APPROPRIATIONS  BILL,  2007	house	hr504	109	YOUNG of Florida	Committee on Appropriations	H.R. 5631
536	LEGISLATIVE  LINE  ITEM  VETO  ACT  OF  2006	house	hr505p1	109	NUSSLE	Committee on the Budget	H.R. 4890
537	LEGISLATIVE  LINE  ITEM  VETO  ACT  OF  2006	house	hr505p2	109	DREIER	Committee on Rules	H.R. 4890
538	SEASONED  CUSTOMER  CTR  EXEMPTION  ACT  OF  2006	house	hr506	109	OXLEY	Committee on Financial Services	H.R. 5341
539	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5631,  DEPARTMENT  OF  DEFENSE  APPROPRIATIONS  ACT,  2007	house	hr507	109	COLE of Oklahoma	Committee on Rules	H. Res. 877
540	CHILDREN'S  HOSPITAL  GME  SUPPORT  REAUTHORIZATION  ACT  OF  2006	house	hr508	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5574
541	HEALTH  CENTERS  RENEWAL  ACT  OF  2006	house	hr509	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5573
542	AMENDING  THE  PUBLIC  HEALTH  SERVICE  ACT  WITH  RESPECT  TO  THE  NATIONAL  FOUNDATION  FOR  THE  CENTERS  FOR  DISEASE  CONTROL  AND  PREVENTION	house	hr510	109	BARTON of Texas	Committee on Energy and Commerce	S. 655
543	RECOGNIZING  THE  FOOD  AND  DRUG  ADMINISTRATION  OF  THE  DEPARTMENT  OF  HEALTH  AND  HUMAN  SERVICES  ON  THE  OCCASION  OF  THE  100TH  ANNIVERSARY  OF  THE  PASSAGE  OF  THE  FOOD  AND  DRUGS  ACT  FOR  THE  IMPORTANT  SERVICE  IT  PROVIDES  TO  THE  NATION	house	hr511	109	BARTON of Texas	Committee on Energy and Commerce	H. Con. Res. 426
544	NATIONAL  TRANSPORTATION  SAFETY  BOARD  AMENDMENTS  ACT  OF  2006	house	hr512	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 5076
545	EXPRESSING  THE  SENSE  OF  THE  CONGRESS  THAT  STATES  SHOULD  REQUIRE  CANDIDATES  FOR  DRIVER'S  LICENSES  TO  DEMONSTRATE  AN  ABILITY  TO  EXERCISE  GREATLY  INCREASED  CAUTION  WHEN  DRIVING  IN  THE  PROXIMITY  OF  A  POTENTIALLY  VISUALLY  IMPAIRED  INDIVIDUAL	house	hr513	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H. Con. Res. 235
546	JOHN  F.  KENNEDY  CENTER  FOR  THE  PERFORMING  ARTS  FISCAL  YEAR  2007  AUTHORIZATION	house	hr514	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 5187
547	HOUSE  OF  REPRESENTATIVES	house	hr515	109	REGULA	Committee on Appropriations	H.R. 5647
548	PROVIDING  FOR  CONSIDERATION  OF  H.R.  9,  FANNIE  LOU  HAMER,  ROSA  PARKS,  AND  CORETTA  SCOTT  KING  VOTING  RIGHTS  ACT  REAUTHORIZATION  AND  AMENDMENTS  ACT  OF  2006	house	hr516	109	LINCOLN DIAZ-BALART	Committee on Rules	H.R. 878
549	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5638,  PERMANENT  ESTATE  TAX  RELIEF  ACT  OF  2006	house	hr517	109	HASTINGS of Washington	Committee on Rules	H. Res. 885
550	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4890,  LEGISLATIVE  LINE  ITEM  VETO  ACT  OF  2006	house	hr518	109	PUTNAM	Committee on Rules	H. Res. 886
551	RESPOND  ACT  OF  2006	house	hr519p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 5316
552	SCIENCE,  STATE,  JUSTICE,  COMMERCE,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  FISCAL  YEAR  2007	house	hr520	109	WOLF	Committee on Appropriations	H.R. 5672
553	VETERANS'  COMPENSATION  COST-OF-LIVING  ADJUSTMENT  ACT  OF  2006	house	hr521	109	BUYER	Committee on Veterans	H.R. 4843
554	CYBER-SECURITY  ENHANCEMENT  AND  CONSUMER  DATA  PROTECTION  ACT  OF  2006	house	hr522	109	SENSENBRENNER	Committee on the Judiciary	H.R. 5318
555	NATIONAL  SECURITY  FOREIGN  INVESTMENT  REFORM  AND  STRENGTHENED  TRANSPARENCY  ACT  OF  2006	house	hr523p1	109	OXLEY	Committee on Financial Services	H.R. 5337
556	REFORM  OF  NATIONAL  SECURITY  REVIEWS  OF  FOREIGN  DIRECT  INVESTMENTS  ACT	house	hr523p2	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5337
557	SCIENCE  AND  MATHEMATICS  EDUCATION  FOR  COMPETITIVENESS  ACT	house	hr524	109	BOEHLERT	Committee on Science	H.R. 5358
558	RESEARCH  FOR  COMPETITIVENESS  ACT	house	hr525	109	BOEHLERT	Committee on Science	H.R. 5356
559	REQUESTING  THE  PRESIDENT  AND  DIRECTING  THE  SECRETARY  OF  STATE  TO  PROVIDE  TO  THE  HOUSE  OF  REPRESENTATIVES  CERTAIN  DOCUMENTS  IN  THEIR  POSSESSION  RELATING  TO  STRATEGIES  AND  PLANS  EITHER  DESIGNED  TO  CAUSE  REGIME  CHANGE  IN  OR  FOR  THE  USE  OF  MILITARY  FORCE  AGAINST  IRAN	house	hr526	109	HYDE	Committee on International Relations	H. Res. 846
560	REQUESTING  THE  PRESIDENT  AND  DIRECTING  THE  ATTORNEY  GENERAL  TO  SUBMIT  TO  THE  HOUSE  OF  REPRESENTATIVES  ALL  DOCUMENTS  IN  THE  POSSESSION  OF  THE  PRESIDENT  AND  THE  ATTORNEY  GENERAL  RELATING  TO  REQUESTS  MADE  BY  THE  NATIONAL  SECURITY  AGENCY  AND  OTHER  FEDERAL  AGENCIES  TO  TELEPHONE  SERVICE  PROVIDERS  REQUESTING  ACCESS  TO  TELEPHONE  COMMUNICATIONS  RECORDS  OF  PERSONS  IN  THE  UNITED  STATES  AND  COMMUNICATIONS  ORIGINATING  AND  TERMINATING  WITHIN  THE  UNITED  STATES  WITHOUT  A  WARRANT	house	hr527	109	SENSENBRENNER	Committee on the Judiciary	H. Res. 819
561	REQUESTING  THE  PRESIDENT  AND  DIRECTING  THE  SECRETARY  OF  DEFENSE  AND  THE  ATTORNEY  GENERAL  TO  TRANSMIT  TO  THE  HOUSE  OF  REPRESENTATIVES  NOT  LATER  THAN  14  DAYS  AFTER  THE  DATE  OF  THE  ADOPTION  OF  THIS  RESOLUTION,  DOCUMENTS  RELATING  TO  THE  TERMINATION  OF  THE  DEPARTMENT  OF  JUSTICE'S  OFFICE  OF  PROFESSIONAL  RESPONSIBILITY'S  INVESTIGATION  OF  THE  INVOLVEMENT  OF  DEPARTMENT  OF  JUSTICE  PERSONNEL  IN  THE  CREATION  AND  ADMINISTRATION  OF  THE  NATIONAL  SECURITY  AGENCY'S  WARRANTLESS  SURVEILLANCE  PROGRAM,  INCLUDING  DOCUMENTS  RELATING  TO  OFFICE  OF  PROFESSIONAL  RESPONSIBILITY'S  REQUEST  FOR  AND  DENIAL  OF  SECURITY  CLEARANCES	house	hr528	109	SENSENBRENNER	Committee on the Judiciary	H. Res. 845
562	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5672,  SCIENCE,  STATE,  JUSTICE,  COMMERCE,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2007	house	hr529	109	GINGREY	Committee on Rules	H. Res. 890
563	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4973,  FLOOD  INSURANCE  REFORM  AND  MODERNIZATION  ACT  OF  2006	house	hr530	109	SESSIONS	Committee on Rules	H. Res. 891
564	DEEP  OCEAN  ENERGY  RESOURCES  ACT  OF  2006	house	hr531	109	POMBO	Committee on Resources	H.R. 4761
565	AUTHORITY  OF  GSA  TO  MAKE  REPAIRS  AND  LEASE  SPACE  IN  RESPONSE  TO  DAMAGES  ATTRIBUTABLE  TO  HURRICANE  KATRINA  OR  HURRICANE  RITA	house	hr532	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 4125
566	PAINT  BANK  AND  WYTHEVILLE  NATIONAL  FISH  HATCHERIES  CONVEYANCE  ACT	house	hr533	109	POMBO	Committee on Resources	H.R. 5061
567	BLEEDING  KANSAS  NATIONAL  HERITAGE  AREA  ACT	house	hr534	109	POMBO	Committee on Resources	H.R. 413
568	TO  ESTABLISH  A  GRANT  PROGRAM  WHEREBY  MONEYS  COLLECTED  FROM  VIOLATIONS  OF  THE  CORPORATE  AVERAGE  FUEL  ECONOMY  PROGRAM  ARE  USED  TO  EXPAND  INFRASTRUCTURE  NECESSARY  TO  INCREASE  THE  AVAILABILITY  OF  ALTERNATIVE  FUELS	house	hr535	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5534
569	FUEL  CONSUMPTION  EDUCATION  ACT	house	hr536	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5611
570	AMENDING  CHAPTER  301  OF  TITLE  49,  UNITED  STATES  CODE,  TO  ESTABLISH  A  NATIONAL  TIRE  FUEL  EFFICIENCY  CONSUMER  INFORMATION  PROGRAM,  AND  FOR  OTHER  PURPOSES	house	hr537	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5632
571	ENERGY  EFFICIENT  COMPUTER  SERVERS	house	hr538	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 5646
572	PROVIDING  FOR  CONSIDERATION  OF  H.  RES.  895,  SUPPORTING  INTELLIGENCE  AND  LAW  ENFORCEMENT  PROGRAMS  TO  TRACK  TERRORISTS  AND  TERRORIST  FINANCES  CONDUCTED  CONSISTENT  WITH  FEDERAL  LAW  AND  WITH  APPROPRIATE  CONGRESSIONAL  CONSULTATION  AND  SPECIFICALLY  CONDEMNING  THE  DISCLOSURE  AND  PUBLICATION  OF  CLASSIFIED  INFORMATION  THAT  IMPAIRS  THE  INTERNATIONAL  FIGHT  AGAINST  TERRORISM  AND  NEEDLESSLY  EXPOSES  AMERICANS  TO  THE  THREAT  OF  FURTHER  TERROR  ATTACKS  BY  REVEALING  A  CRUCIAL  METHOD  BY  WHICH  TERRORISTS  ARE  TRACED  THROUGH  THEIR  FINANCES	house	hr539	109	SESSIONS	Committee on Rules	H. Res. 896
573	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4761,  DEEP  OCEAN  ENERGY  RESOURCES  ACT  OF  2006	house	hr540	109	CAPITO	Committee on Rules	H. Res. 897
574	INTERNET  FREEDOM  AND  NONDISCRIMINATION  ACT  OF  2006	house	hr541	109	SENSENBRENNER	Committee on the Judiciary	H.R. 5417
575	STATE  TAXATION  OF  RETIREMENT  INCOME	house	hr542	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4019
576	UNITED  STATES-ISRAEL  ENERGY  COOPERATION  ACT	house	hr543	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 2730
577	FEDERAL  EMPLOYEE  PROTECTION  OF  DISCLOSURES  ACT	house	hr544p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 1317
578	NATIONAL  OCEANIC  AND  ATMOSPHERIC  ADMINISTRATION  ACT	house	hr545p1	109	BOEHLERT	Committee on Science	H.R. 5450
579	CREDIT  RATING  AGENCY  DUOPOLY  RELIEF  ACT  OF  2006	house	hr546	109	OXLEY	Committee on Financial Services	H.R. 2990
580	CHERRY  VALLEY  NATIONAL  WILDLIFE  REFUGE  STUDY  ACT	house	hr547	109	POMBO	Committee on Resources	H.R. 5232
581	TO  AMEND  PUBLIC  LAW  106-348  TO  EXTEND  THE  AUTHORIZATION  FOR  ESTABLISHING  A  MEMORIAL  IN  THE  DISTRICT  OF  COLUMBIA  OR  ITS  ENVIRONS  TO  HONOR  VETERANS  WHO  BECAME  DISABLED  WHILE  SERVING  IN  THE  ARMED  FORCES  OF  THE  UNITED  STATES	house	hr548	109	POMBO	Committee on Resources	H.R. 4275
582	TO  AMEND  THE  NATIONAL  TRAILS  SYSTEM  ACT  TO  UPDATE  THE  FEASIBILITY  AND  SUITABILITY  STUDY  ORIGINALLY  PREPARED  FOR  THE  TRAIL  OF  TEARS  NATIONAL  HISTORIC  TRAIL  AND  PROVIDE  FOR  THE  INCLUSION  OF  NEW  TRAIL  SEGMENTS,  LAND  COMPONENTS,  AND  CAMPGROUNDS  ASSOCIATED  WITH  THAT  TRAIL,  AND  FOR  OTHER  PURPOSES	house	hr549	109	POMBO	Committee on Resources	H.R. 3085
583	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2990,  CREDIT  RATING  AGENCY  DUOPOLY  RELIEF  ACT  OF  2006	house	hr550	109	CAPITO	Committee on Rules	H. Res. 906
584	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4411,  UNLAWFUL  INTERNET  GAMBLING  ENFORCEMENT  ACT  OF  2006	house	hr551	109	GINGREY	Committee on Rules	H. Res. 907
585	INTERNET  GAMBLING  PROHIBITION  ACT	house	hr552p1	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4777
586	TO  AMEND  THE  DISTRICT  OF  COLUMBIA  COLLEGE  ACCESS  ACT  OF  1999  TO  REAUTHORIZE  FOR  5  ADDITIONAL  YEARS  THE  PUBLIC  AND  PRIVATE  SCHOOL  TUITION  ASSISTANCE  PROGRAMS  ESTABLISHED  UNDER  THE  ACT	house	hr553	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 4855
587	PROVIDING  FOR  CONSIDERATION  OF  H.R.  9,  FANNIE  LOU  HAMER,  ROSA  PARKS,  AND  CORETTA  SCOTT  KING  VOTING  RIGHTS  ACT  REAUTHORIZATION  AND  AMENDMENTS  ACT  OF  2006	house	hr554	109	LINCOLN DIAZ-BALART of Florida	Committee on Rules	H. Res. 910
588	CHILD  AND  FAMILY  SERVICES  IMPROVEMENT  ACT  OF  2006	house	hr555	109	THOMAS	Committee on Ways and Means	H.R. 5640
589	ELECTRONIC  DUCK  STAMP  ACT  OF  2005	house	hr556	109	POMBO	Committee on Resources	S. 1496
590	TO  PROVIDE  FOR  CERTAIN  LANDS  TO  BE  HELD  IN  TRUST  FOR  THE  UTU  UTU  GWAITU  PAIUTE  TRIBE	house	hr557	109	POMBO	Committee on Resources	H.R. 854
591	NATURAL  RESOURCE  PROTECTION  COOPERATIVE  AGREEMENT  ACT	house	hr558	109	POMBO	Committee on Resources	H.R. 4294
592	SPRINGFIELD  ARMORY  NATIONAL  HISTORIC  SITE,  MASSACHUSETTS  ACT  OF  2006	house	hr559	109	POMBO	Committee on Resources	H.R. 4376
593	LAKE  MATTAMUSKEET  LODGE  PRESERVATION  ACT	house	hr560	109	POMBO	Committee on Resources	H.R. 5094
594	UPPER  MISSISSIPPI  RIVER  BASIN  PROTECTION  ACT	house	hr561	109	POMBO	Committee on Resources	H.R. 5340
595	PARTNERS  FOR  FISH  AND  WILDLIFE  ACT	house	hr562	109	POMBO	Committee on Resources	S. 260
596	MILLENNIUM  CHALLENGE  REAUTHORIZATION  ACT  OF  2006	house	hr563	109	HYDE	Committee on International Relations	H.R. 4014
597	LAW  ENFORCEMENT  COOPERATION  ACT  OF  2006	house	hr564	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4132
598	PROMOTING  TRANSPARENCY  IN  FINANCIAL  REPORTING  ACT  OF  2006	house	hr565	109	OXLEY	Committee on Financial Services	H.R. 5024
599	EXPORT-IMPORT  BANK  REAUTHORIZATION  ACT  OF  2006	house	hr566	109	OXLEY	Committee on Financial Services	H.R. 5068
600	AMERICAN  FISHERIES  MANAGEMENT  AND  MARINE  LIFE  ENHANCEMENT  ACT	house	hr567	109	POMBO	Committee on Resources	H.R. 5018
601	AMENDING  THE  RECLAMATION  STATES  EMERGENCY  DROUGHT  RELIEF  ACT  OF  1991  TO  EXTEND  THE  AUTHORITY  FOR  DROUGHT  ASSISTANCE	house	hr568	109	POMBO	Committee on Resources	H.R. 2925
602	RAILROAD  RETIREMENT  TECHNICAL  IMPROVEMENT  ACT  OF  2006	house	hr569	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 5074
603	SUPPORTING  NATIONAL  BIKE  MONTH	house	hr570p1	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H. Con. Res. 145
604	ZERO  DOWNPAYMENT  PILOT  PROGRAM  ACT  OF  2006	house	hr571	109	OXLEY	Committee on Financial Services	H.R. 3043
605	MARK-TO-MARKET  EXTENSION  ACT  OF  2006	house	hr572	109	OXLEY	Committee on Financial Services	H.R. 5527
606	PROVIDING  FOR  CONSIDERATION  OF  H.J.  RES.  88,  MARRIAGE  PROTECTION  AMENDMENT	house	hr573	109	GINGREY	Committee on Rules	H. Res. 918
607	UNITED  STATES-OMAN  FREE  TRADE  AGREEMENT  IMPLEMENTATION  ACT	house	hr574	109	THOMAS	Committee on Ways and Means	H.R. 5684
608	BUSINESS  ACTIVITY  TAX  SIMPLIFICATION  ACT  OF  2006	house	hr575	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1956
609	PROUD  TO  BE  AN  AMERICAN  CITIZEN  ACT	house	hr576	109	SENSENBRENNER	Committee on the Judiciary	H.R. 5323
610	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2389,  PLEDGE  PROTECTION  ACT  OF  2005	house	hr577	109	GINGREY	Committee on Rules	H. Res. 920
611	PROVIDING  FOR  CONSIDERATION  OF  S.  2754,  ALTERNATIVE  PLURIPOTENT  STEM  CELL  THERAPIES  ENHANCEMENT  ACT	house	hr578	109	GINGREY	Committee on Rules	H. Res. 924
612	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5684,  UNITED  STATES-OMAN  FREE  TRADE  AGREEMENT  IMPLEMENTATION  ACT	house	hr579	109	HASTINGS of Washington	Committee on Rules	H. Res. 925
613	FHA  MANUFACTURED  HOUSING  LOAN  MODERNIZATION  ACT  OF  2006	house	hr580	109	OXLEY	Committee on Financial Services	H.R. 4804
614	REPLACEMENT  OF  CERTAIN  COASTAL  BARRIER  RESOURCES  SYSTEM  MAPS	house	hr581	109	POMBO	Committee on Resources	H.R. 4165
615	TO  AUTHORIZE  THE  MARION  PARK  PROJECT  AND  COMMITTEE  OF  THE  PALMETTO  CONSERVATION  FOUNDATION  TO  ESTABLISH  A  COMMEMORATIVE  WORK  ON  FEDERAL  LAND  IN  THE  DISTRICT  OF  COLUMBIA,  AND  ITS  ENVIRONS  TO  HONOR  BRIGADIER  GENERAL  FRANCIS  MARION	house	hr582	109	POMBO	Committee on Resources	H.R. 5057
616	VALLE  VIDAL  PROTECTION  ACT  OF  2005	house	hr583	109	POMBO	Committee on Resources	H.R. 3817
617	COMMISSION  TO  STUDY  THE  POTENTIAL  CREATION  OF  A  NATIONAL  MUSEUM  OF  THE  AMERICAN  LATINO  COMMUNITY  ACT  OF  2005	house	hr584p1	109	POMBO	Committee on Resources	H.R. 2134
618	ASIAN  CARP  PREVENTION  AND  CONTROL  ACT	house	hr585	109	SENSENBRENNER	Committee on the Judiciary	H.R. 3049
619	TO  DIRECT  THE  SECRETARY  OF  THE  INTERIOR  TO  ESTABLISH  A  DEMONSTRATION  PROGRAM  TO  FACILITATE  LANDSCAPE  RESTORATION  PROGRAMS  WITHIN  CERTAIN  UNITS  OF  THE  NATIONAL  PARK  SYSTEM  ESTABLISHED  BY  LAW  TO  PRESERVE  AND  INTERPRET  RESOURCES  ASSOCIATED  WITH  AMERICAN  HISTORY,  AND  FOR  OTHER  PURPOSES	house	hr586	109	POMBO	Committee on Resources	H.R. 5411
620	CAHABA  RIVER  NATIONAL  WILDLIFE  REFUGE  EXPANSION  ACT	house	hr587	109	POMBO	Committee on Resources	H.R. 4947
621	BLUNT  RESERVOIR  AND  PIERRE  CANAL  LAND  CONVEYANCE  ACT  OF  2005	house	hr588	109	POMBO	Committee on Resources	H.R. 4301
622	EXPANDING  AMERICAN  HOMEOWNERSHIP  ACT  OF  2006	house	hr589	109	OXLEY	Committee on Financial Services	H.R. 5121
623	UNITED  STATES  AND  INDIA  NUCLEAR  COOPERATION  PROMOTION  ACT  OF  2006	house	hr590p1	109	HYDE	Committee on International Relations	H.R. 5682
624	FEDERAL  PRISON  INDUSTRIES  COMPETITION  IN  CONTRACTING  ACT  OF  2006	house	hr591	109	SENSENBRENNER	Committee on the Judiciary	H.R. 2965
625	VETERANS  SMALL  BUSINESS  AND  MEMORIAL  AFFAIRS  ACT  OF  2006	house	hr592	109	BUYER	Committee on Veterans	H.R. 3082
626	DISTRICT  OF  COLUMBIA  FAIR  AND  EQUAL  HOUSE  VOTING  RIGHTS  ACT  OF  2006	house	hr593p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 5388
627	GOVERNMENT  EFFICIENCY  ACT  OF  2006	house	hr594p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 5766
628	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1956,  BUSINESS  ACTIVITY  TAX  SIMPLIFICATION  ACT  OF  2006	house	hr595	109	GINGREY	Committee on Rules	H. Res. 939
629	DISASTER  RECOVERY  PERSONAL  PROTECTION  ACT  OF  2006	house	hr596	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 5013
630	CARL  D.  PERKINS  CAREER  AND  TECHNICAL  EDUCATION  IMPROVEMENT  ACT  OF  2006	house	hr597	109	MCKEON	committee of conference	S. 250
631	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  S.  250,  CARL  D.  PERKINS  CAREER  AND  TECHNICAL  EDUCATION  IMPROVEMENT  ACT  OF  2005	house	hr598	109	BISHOP of Utah	Committee on Rules	H. Res. 946
632	PROVIDING  FOR  CONSIDERATION  OF  H.R.  5682,  UNITED  STATES  AND  INDIA  NUCLEAR  COOPERATION  PROMOTION  ACT  OF  2006	house	hr599	109	BISHOP of Utah	Committee on Rules	H. Res. 947
633	WRIGHT  AMENDMENT  REFORM  ACT	house	hr600p1	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 5830
